name;MonitoringRef
11-14 Avenue Albert Einstein;STIF:StopPoint:Q:39033:
123 Rue de la Belle Etoile;STIF:StopPoint:Q:40140:
14 rue Jean Jaures;STIF:StopPoint:Q:38630:
16 Route de Sainte Aulde;STIF:StopPoint:Q:20077:
18 Rue du Pilier;STIF:StopPoint:Q:40780:
190 rue des Chardonnerets;STIF:StopPoint:Q:426818:
2 rue de Etang;STIF:StopPoint:Q:31403:
20 Arpents;STIF:StopPoint:Q:38024:
20 rue Panserot;STIF:StopPoint:Q:11630:
22 Arpents;STIF:StopPoint:Q:38303:
227 Avenue des Nations;STIF:StopPoint:Q:462815:
230 Rue de la Belle Etoile;STIF:StopPoint:Q:427700:
277 rue de la Belle Etoile;STIF:StopPoint:Q:427704:
291 Avenue du Bois de la Pie;STIF:StopPoint:Q:22545:
2eme Avenue;STIF:StopPoint:Q:16596:
3 Buttes;STIF:StopPoint:Q:32368:
3 Cedres;STIF:StopPoint:Q:13431:
3 Chenes;STIF:StopPoint:Q:419796:
3 Forets;STIF:StopPoint:Q:32258:
3 Poiriers;STIF:StopPoint:Q:30235:
3 Seigneurs;STIF:StopPoint:Q:418985:
3 Tours (Carrieres sous Poissy);STIF:StopPoint:Q:13371:
33 rue des Chardonnerets;STIF:StopPoint:Q:19273:
346 Rue de la Belle Etoile;STIF:StopPoint:Q:15100:
351 Avenue du Bois de la Pie;STIF:StopPoint:Q:22544:
372 rue de la belle Etoile;STIF:StopPoint:Q:18926:
374 rue Paul Doumer;STIF:StopPoint:Q:13484:
3eme Avenue;STIF:StopPoint:Q:16594:
4 Chemins;STIF:StopPoint:Q:41730:
4 Routes;STIF:StopPoint:Q:424195:
4 Routes - Zola;STIF:StopPoint:Q:40882:
40 Arpents;STIF:StopPoint:Q:12829:
40 Sous / Route d'Orgeval;STIF:StopPoint:Q:13378:
402 rue Paul Doumer;STIF:StopPoint:Q:13485:
42eme de Ligne;STIF:StopPoint:Q:39736:
46 rue Panserot;STIF:StopPoint:Q:11634:
50 Rue de Courcelles;STIF:StopPoint:Q:10829:
57 Rue de la Belle Etoile;STIF:StopPoint:Q:39172:
58 Avenue de la Pyramide;STIF:StopPoint:Q:462813:
6 Avenue des Marronniers;STIF:StopPoint:Q:11097:
60 Arpents - Technocentre;STIF:StopPoint:Q:425494:
69 Rue de la Belle Etoile;STIF:StopPoint:Q:18864:
76 route de Saint-Leu;STIF:StopPoint:Q:23564:
8 Grande Rue;STIF:StopPoint:Q:6308:
80 Arpents;STIF:StopPoint:Q:411596:
84 - 89 Salvador Allende;STIF:StopPoint:Q:23946:
85 Route de Saint Aulde;STIF:StopPoint:Q:10831:
88 Rue Lepic;STIF:StopPoint:Q:24771:
89 rue des Chardonnerets;STIF:StopPoint:Q:426816:
96 Avenue de la Pyramide;STIF:StopPoint:Q:488040:
9eme Avenue;STIF:StopPoint:Q:419855:
a Verriere Gare - Quai A;STIF:StopPoint:Q:484381:
A. Gervais - Mairie;STIF:StopPoint:Q:35202:
A5-1;STIF:StopPoint:Q:427561:
A5-2;STIF:StopPoint:Q:427550:
