LineRef;LineName
STIF:Line::C01756:;337
STIF:Line::C00877:;3607
STIF:Line::C00886:;3656
STIF:Line::C00610:;23
STIF:Line::C01585:;617
STIF:Line::C01772:;6230
STIF:Line::C02244:;45
STIF:Line::C00594:;O1 (Future 429)
STIF:Line::C00575:;J2 (Future 427)
STIF:Line::C01478:;12
STIF:Line::C00364:;501
STIF:Line::C00369:;12
STIF:Line::C00768:;40
STIF:Line::C01643:;N135
STIF:Line::C00982:;3
STIF:Line::C00138:;512
STIF:Line::C00637:;Express 18
STIF:Line::C00792:;45
STIF:Line::C00803:;6
STIF:Line::C01035:;74
STIF:Line::C02450:;42
STIF:Line::C00098:;331
STIF:Line::C01204:;183
STIF:Line::C02566:;2
STIF:Line::C02543:;90
STIF:Line::C01727:;C
STIF:Line::C01135:;106
STIF:Line::C00092:;4305
STIF:Line::C02495:;TàD 4305
STIF:Line::C01145:;116
STIF:Line::C02446:;17s
STIF:Line::C00454:;76
STIF:Line::C01134:;105
STIF:Line::C00090:;107
STIF:Line::C01620:;405
STIF:Line::C00386:;302
STIF:Line::C01714:;300
STIF:Line::C00390:;304
STIF:Line::C01378:;8
STIF:Line::C02605:;Soirée Gonesse
STIF:Line::C00191:;11
STIF:Line::C00869:;CPSF
STIF:Line::C00854:;42
STIF:Line::C00853:;41
STIF:Line::C01728:;D
STIF:Line::C02497:;E
STIF:Line::C01016:;4344
STIF:Line::C02608:;4348
STIF:Line::C01375:;5
STIF:Line::C02451:;43S
STIF:Line::C00241:;R106
STIF:Line::C00768:;40
STIF:Line::C00762:;30
STIF:Line::C02243:;25
STIF:Line::C01974:;18B
STIF:Line::C00823:;10
STIF:Line::C01970:;13C
STIF:Line::C01971:;14B
STIF:Line::C00129:;61
STIF:Line::C02244:;45
STIF:Line::C00913:;18
STIF:Line::C02637:;78S
STIF:Line::C00925:;34S1
STIF:Line::C00177:;24
STIF:Line::C00292:;1
STIF:Line::C01673:;M21S
STIF:Line::C00074:;1
STIF:Line::C00920:;31
STIF:Line::C00138:;512
STIF:Line::C00111:;11
STIF:Line::C00669:;DM7S
STIF:Line::C01393:;N52
STIF:Line::C01141:;112
STIF:Line::C02252:;Ks
STIF:Line::C00188:;89
STIF:Line::C01311:;378
STIF:Line::C00527:;6183
STIF:Line::C01423:;1
STIF:Line::C02138:;4s
STIF:Line::C02131:;6
STIF:Line::C02132:;9s
STIF:Line::C00627:;23
STIF:Line::C02281:;3632
STIF:Line::C00895:;3634
STIF:Line::C00978:;913.08
STIF:Line::C00610:;23
STIF:Line::C02221:;4309
STIF:Line::C02387:;4332
STIF:Line::C01078:;28
STIF:Line::C00523:;3935B
STIF:Line::C01841:;P
STIF:Line::C00669:;DM7S
STIF:Line::C01787:;95-31
STIF:Line::C00632:;34
STIF:Line::C01404:;N32
STIF:Line::C01260:;281
STIF:Line::C01168:;143
STIF:Line::C00473:;95-19
STIF:Line::C02541:;25
STIF:Line::C01976:;321
STIF:Line::C01679:;T3b
STIF:Line::C01140:;111
STIF:Line::C00845:;11
STIF:Line::C02130:;3s
STIF:Line::C02628:;Soir Carrières-sous-Poissy
STIF:Line::C02098:;02F
STIF:Line::C01798:;2C
STIF:Line::C00758:;89
STIF:Line::C00817:;202
STIF:Line::C00292:;1
STIF:Line::C00301:;1512
STIF:Line::C00758:;89
STIF:Line::C00274:;12
STIF:Line::C00580:;A
STIF:Line::C02317:;T9
STIF:Line::C00977:;913.07
STIF:Line::C00973:;306.04
STIF:Line::C01743:;B
STIF:Line::C00694:;6203
STIF:Line::C00693:;6202
STIF:Line::C00050:;6123
STIF:Line::C02286:;6214
STIF:Line::C01126:;95
STIF:Line::C01135:;106
STIF:Line::C01402:;N61
STIF:Line::C00506:;3928B
STIF:Line::C00437:;30-mai
STIF:Line::C02186:;63
STIF:Line::C00425:;6241
STIF:Line::C01116:;84
STIF:Line::C02608:;4348
STIF:Line::C01577:;605
STIF:Line::C00108:;44
STIF:Line::C02129:;3
STIF:Line::C01951:;12
STIF:Line::C00054:;2
STIF:Line::C01990:;55
STIF:Line::C00340:;402
STIF:Line::C00681:;DM19
STIF:Line::C00229:;R2
STIF:Line::C00411:;15
STIF:Line::C00171:;11
STIF:Line::C00108:;44
STIF:Line::C00917:;22
STIF:Line::C01203:;182
STIF:Line::C00358:;D
STIF:Line::C00548:;12 (Future 451)
STIF:Line::C01263:;286
STIF:Line::C00755:;88A
STIF:Line::C01477:;11
STIF:Line::C01878:;30-juil
STIF:Line::C00518:;39-303
STIF:Line::C01439:;G
STIF:Line::C01304:;360
STIF:Line::C02239:;6246
STIF:Line::C01395:;N44
STIF:Line::C00034:;C
STIF:Line::C01285:;321
STIF:Line::C00286:;10
STIF:Line::C00255:;714
STIF:Line::C00556:;5 (Future 435)
STIF:Line::C00788:;6
STIF:Line::C00786:;9
STIF:Line::C01575:;603
STIF:Line::C01532:;419
STIF:Line::C02396:;DM151S
STIF:Line::C02569:;7
STIF:Line::C01875:;30-48
STIF:Line::C01439:;G
STIF:Line::C01451:;19
STIF:Line::C01109:;74
STIF:Line::C01831:;B
STIF:Line::C00576:;H
STIF:Line::C00814:;3665
STIF:Line::C02132:;9s
STIF:Line::C01276:;306
STIF:Line::C00316:;J
STIF:Line::C01192:;171
STIF:Line::C00530:;6163
STIF:Line::C02129:;3
STIF:Line::C02130:;3s
STIF:Line::C02186:;63
STIF:Line::C00182:;A
STIF:Line::C00442:;30-sept
STIF:Line::C01845:;N
STIF:Line::C02219:;6252
STIF:Line::C00057:;9
STIF:Line::C02155:;15
STIF:Line::C02473:;913.17C
STIF:Line::C02431:;332
STIF:Line::C01140:;111
STIF:Line::C01141:;112
STIF:Line::C00738:;20
STIF:Line::C00424:;M
STIF:Line::C00421:;B
STIF:Line::C00765:;36
STIF:Line::C00255:;714
STIF:Line::C00109:;45
STIF:Line::C00755:;88A
STIF:Line::C01034:;73
STIF:Line::C02191:;62A
STIF:Line::C02193:;63
STIF:Line::C00850:;34
STIF:Line::C01435:;A
STIF:Line::C02626:;Soir Vernouillet-Verneuil
STIF:Line::C01562:;EXPRESS 91-01
STIF:Line::C02543:;90
STIF:Line::C01274:;303
STIF:Line::C01400:;N31
STIF:Line::C01114:;82
STIF:Line::C01133:;104
STIF:Line::C01182:;159
STIF:Line::C01140:;111
STIF:Line::C00372:;18
STIF:Line::C01062:;Express 01
STIF:Line::C01421:;N122
STIF:Line::C02281:;3632
STIF:Line::C00789:;41
STIF:Line::C02088:;34B
