name;MonitoringRef
Ablon;STIF:StopPoint:Q:46387:
Achères Grand Cormier;STIF:StopPoint:Q:47915:
Achères-Ville;STIF:StopPoint:Q:46647:
Aéroport Charles de Gaulle 1;STIF:StopPoint:Q:462398:
Aéroport Charles de Gaulle 2 TGV;STIF:StopPoint:Q:473364:
Andrésy;STIF:StopPoint:Q:47916:
Antony;STIF:StopPoint:Q:43066:
Arcueil – Cachan;STIF:StopPoint:Q:43067:
Argenteuil;STIF:StopPoint:Q:47875:
Arpajon;STIF:StopPoint:Q:43068:
Asnières-sur-Seine;STIF:StopPoint:Q:43069:
Athis-Mons;STIF:StopPoint:Q:46395:
Auber;STIF:StopPoint:Q:45873:
Aubergenville Élisabethville;STIF:StopPoint:Q:43070:
Aulnay-sous-Bois;STIF:StopPoint:Q:43071:
Auvers-sur-Oise;STIF:StopPoint:Q:47918:
Avenue du Président Kennedy;STIF:StopPoint:Q:45419:
Avenue Foch;STIF:StopPoint:Q:45437:
Avenue Henri Martin;STIF:StopPoint:Q:45447:
Bagneaux-sur-Loing;STIF:StopPoint:Q:47119:
Bagneux;STIF:StopPoint:Q:44493:
Ballancourt;STIF:StopPoint:Q:43087:
Bécon-les-Bruyères;STIF:StopPoint:Q:47923:
Bellevue;STIF:StopPoint:Q:43088:
Belloy – Saint-Martin;STIF:StopPoint:Q:47524:
Bessancourt;STIF:StopPoint:Q:43090:
Beynes;STIF:StopPoint:Q:46857:
Bibliothèque François Mitterrand;STIF:StopPoint:Q:45301:
Bièvres;STIF:StopPoint:Q:43091:
Boigneville;STIF:StopPoint:Q:43092:
Bois-Colombes;STIF:StopPoint:Q:51238:
Bois-le-Roi;STIF:StopPoint:Q:47654:
Boissise-le-Roi;STIF:StopPoint:Q:45763:
Boissy Saint-Léger;STIF:StopPoint:Q:43094:
Boissy-l’Aillerie;STIF:StopPoint:Q:46801:
Bondy;STIF:StopPoint:Q:43096:
Bonnières;STIF:StopPoint:Q:46984:
Boran-sur-Oise;STIF:StopPoint:Q:411332:
Bouffémont – Moisselles;STIF:StopPoint:Q:47517:
Bougival;STIF:StopPoint:Q:47790:
Boulainvilliers;STIF:StopPoint:Q:45453:
Bouray;STIF:StopPoint:Q:47905:
Bourg-la-Reine;STIF:StopPoint:Q:43097:
Bourron-Marlotte – Grez;STIF:StopPoint:Q:47124:
Boussy-Saint-Antoine;STIF:StopPoint:Q:47924:
Boutigny;STIF:StopPoint:Q:47895:
Brétigny;STIF:StopPoint:Q:43098:
Breuillet Village;STIF:StopPoint:Q:43099:
Breuillet – Bruyères le Chatel;STIF:StopPoint:Q:47925:
Bréval;STIF:StopPoint:Q:43100:
Brunoy;STIF:StopPoint:Q:58873:
Bruyères-sur-Oise;STIF:StopPoint:Q:47533:
Bry-sur-Marne;STIF:StopPoint:Q:43101:
Buno – Gironville;STIF:StopPoint:Q:43102:
Bures-sur-Yvette;STIF:StopPoint:Q:43103:
Bussy-Saint-Georges;STIF:StopPoint:Q:58874:
Cergy le Haut;STIF:StopPoint:Q:43104:
Cergy Préfecture;STIF:StopPoint:Q:44559:
Cergy Saint-Christophe;STIF:StopPoint:Q:47897:
Cernay;STIF:StopPoint:Q:43105:
Cesson;STIF:StopPoint:Q:42516:
Chamarande;STIF:StopPoint:Q:47927:
Champ de Courses d’Enghien;STIF:StopPoint:Q:46477:
Champ de Mars Tour Eiffel;STIF:StopPoint:Q:58757:
Champagne-sur-Oise;STIF:StopPoint:Q:47590:
Champagne-sur-Seine;STIF:StopPoint:Q:43106:
Champbenoist – Poigny;STIF:StopPoint:Q:47174:
Champigny;STIF:StopPoint:Q:58270:
Champigny-sur-Yonne;STIF:StopPoint:Q:411461:
Changis – Saint-Jean;STIF:StopPoint:Q:47928:
Chanteloup-les-Vignes;STIF:StopPoint:Q:47929:
Chantilly-Gouvieux;STIF:StopPoint:Q:411428:
Chaponval;STIF:StopPoint:Q:47591:
Charles-de-Gaulle – Étoile;STIF:StopPoint:Q:58759:
Chars;STIF:StopPoint:Q:47930:
Chartres;STIF:StopPoint:Q:411507:
Chartrettes;STIF:StopPoint:Q:43107:
Château-Thierry;STIF:StopPoint:Q:411378:
Châtelet – Les Halles;STIF:StopPoint:Q:45102:
Châtou – Croissy;STIF:StopPoint:Q:53783:
Chaumont-en-Vexin;STIF:StopPoint:Q:411345:
Chaville Rive Droite;STIF:StopPoint:Q:43241:
Chaville Rive Gauche;STIF:StopPoint:Q:43108:
Chaville Vélizy;STIF:StopPoint:Q:47883:
Chelles – Gournay;STIF:StopPoint:Q:58879:
Chemin d’Antony;STIF:StopPoint:Q:46035:
Chézy-sur-Marne;STIF:StopPoint:Q:411381:
Choisy-le-Roi;STIF:StopPoint:Q:43110:
Cité Universitaire;STIF:StopPoint:Q:473843:
Clamart;STIF:StopPoint:Q:43111:
Clichy – Levallois;STIF:StopPoint:Q:43112:
Coignières;STIF:StopPoint:Q:47932:
Colombes;STIF:StopPoint:Q:43113:
Combs-la-Ville – Quincy;STIF:StopPoint:Q:45771:
Compans;STIF:StopPoint:Q:46731:
Conflans-Fin-d’Oise;STIF:StopPoint:Q:43114:
Conflans-Sainte-Honorine;STIF:StopPoint:Q:47447:
Corbeil-Essonnes;STIF:StopPoint:Q:43115:
Cormeilles-en-Parisis;STIF:StopPoint:Q:43116:
Couilly – Saint-Germain – Quincy;STIF:StopPoint:Q:47327:
Coulommiers;STIF:StopPoint:Q:43117:
Courbevoie;STIF:StopPoint:Q:43118:
Courcelle-sur-Yvette;STIF:StopPoint:Q:47052:
Crécy-la-Chapelle;STIF:StopPoint:Q:47894:
Creil;STIF:StopPoint:Q:411440:
Crépy-en-Valois;STIF:StopPoint:Q:411396:
Créteil Pompadour;STIF:StopPoint:Q:46286:
Crouy-sur-Ourcq;STIF:StopPoint:Q:47491:
Dammartin – Juilly – Saint-Mard;STIF:StopPoint:Q:46736:
Denfert-Rochereau;STIF:StopPoint:Q:473890:
Deuil – Montmagny;STIF:StopPoint:Q:473159:
Domont;STIF:StopPoint:Q:43120:
Dordives;STIF:StopPoint:Q:58955:
Dourdan;STIF:StopPoint:Q:43121:
Dourdan la Forêt;STIF:StopPoint:Q:47095:
Drancy;STIF:StopPoint:Q:43122:
Dreux;STIF:StopPoint:Q:411492:
Écouen – Ézanville;STIF:StopPoint:Q:43073:
Égly;STIF:StopPoint:Q:415484:
Émerainville – Pontault-Combault;STIF:StopPoint:Q:43074:
Enghien-les-Bains;STIF:StopPoint:Q:43075:
Épernon;STIF:StopPoint:Q:411511:
Épinay-sur-Orge;STIF:StopPoint:Q:43076:
Épinay-sur-Seine;STIF:StopPoint:Q:43077:
Épinay – Villetaneuse;STIF:StopPoint:Q:43078:
Épluches;STIF:StopPoint:Q:47596:
Épône – Mézières;STIF:StopPoint:Q:47882:
Éragny – Neuville;STIF:StopPoint:Q:43079:
Ermont Halte;STIF:StopPoint:Q:47920:
Ermont – Eaubonne;STIF:StopPoint:Q:47898:
Esbly;STIF:StopPoint:Q:47322:
Essonnes – Robinson;STIF:StopPoint:Q:45759:
Étampes;STIF:StopPoint:Q:43080:
Étigny – Véron;STIF:StopPoint:Q:411455:
Étrechy;STIF:StopPoint:Q:43081:
Évry;STIF:StopPoint:Q:45745:
Évry – Courcouronnes;STIF:StopPoint:Q:47906:
Faremoutiers – Pommeuse;STIF:StopPoint:Q:47199:
Ferrières Fontenay;STIF:StopPoint:Q:411488:
Fontaine Michalon;STIF:StopPoint:Q:43124:
Fontaine-le-Port;STIF:StopPoint:Q:43123:
Fontainebleau – Avon;STIF:StopPoint:Q:47911:
Fontenay-aux-Roses;STIF:StopPoint:Q:43125:
Fontenay-le-Fleury;STIF:StopPoint:Q:47884:
Fontenay-sous-Bois;STIF:StopPoint:Q:47238:
Franconville – Le Plessis-Bouchard;STIF:StopPoint:Q:43126:
Frépillon;STIF:StopPoint:Q:47580:
